ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",1572,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",56868,0.05499434274275436
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",286,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",247,0.00023886197259373156
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",76,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",46,0.00004448441594863017
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",120.00000000000001,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",73,0.00007059483400543483
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",2073,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",3348,0.0032376918390437785
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",5727,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",36219,0.03502567524442252
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",3752.462258304539,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",22996,0.022238339764232597
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",1086.69130851406,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",3505,0.0033895190847814945
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",375,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",493209,0.4871012375819598
0,"White Alone",1,"Hispanic or Latino",2014,"2014",5454,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",71975,0.07108368171497592
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",3318,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",306587,0.3027903122743914
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",1358,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",3874,0.0038260254666733825
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",780,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",1862,0.0018389415123763134
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",519,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",769,0.0007594769189137406
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",1421,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",53139,0.052480941474846894
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",49,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",31,0.000030616104663622834
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",73,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",58,0.00005728174420935885
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",567,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",354,0.0003496161629329833
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",1003.9999999999999,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",1463,0.0014448826168671034
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",4948,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",47718,0.047127073623830784
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",3675.829838281418,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",27748,0.02740437652278085
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",1298.1190238186944,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",3752,0.0037055362805778346
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",489.99999999999994,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",487223,0.49165924133456174
0,"White Alone",1,"Hispanic or Latino",2013,"2013",7674,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",61812,0.06237480789160596
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",2373,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",305789,0.3085732564933394
